series id,county,state,10y_change,county_state
ATNHPIUS55087A,Outagamie County, WI,40.85002934026323,"Outagamie County,  WI"
ATNHPIUS55121A,Trempealeau County, WI,38.177722541556605,"Trempealeau County,  WI"
ATNHPIUS26057A,Gratiot County, MI,50.174528772314765,"Gratiot County,  MI"
ATNHPIUS19179A,Wapello County, IA,24.845883730003905,"Wapello County,  IA"
ATNHPIUS33013A,Merrimack County, NH,45.60629052283074,"Merrimack County,  NH"
ATNHPIUS16031A,Cassia County, ID,82.09779179810728,"Cassia County,  ID"
ATNHPIUS26033A,Chippewa County, MI,23.37217272104181,"Chippewa County,  MI"
ATNHPIUS45041A,Florence County, SC,19.347635377621824,"Florence County,  SC"
ATNHPIUS08099A,Prowers County, CO,59.696312364425175,"Prowers County,  CO"
ATNHPIUS36079A,Putnam County, NY,19.29800027968116,"Putnam County,  NY"
ATNHPIUS19059A,Dickinson County, IA,44.47275300778483,"Dickinson County,  IA"
ATNHPIUS51121A,Montgomery County, VA,30.903648008911176,"Montgomery County,  VA"
